id,nba_id,display_name,first_name,last_name,roster_status,from_year,to_year,player_code,team_id,team_city,team_name,team_abbreviation,team_code
numeric,numeric,string,string,string,enum,numeric,numeric,string,numeric,string,string,string,string
450,76253,Bill Bridges,Bill,Bridges,0,1962,1974,HISTADD_bill_bridges,0,,,,
451,1628969,Mikal Bridges,Mikal,Bridges,0,2018,2018,mikal_bridges,0,,,,
452,1628970,Miles Bridges,Miles,Bridges,0,2018,2018,miles_bridges,0,,,,
453,76254,Al Brightman,Al,Brightman,0,1946,1946,HISTADD_al_brightman,0,,,,
454,76255,Audley Brindley,Audley,Brindley,0,1946,1946,HISTADD_aud_brindley,0,,,,
455,1628515,Isaiah Briscoe,Isaiah,Briscoe,0,2018,2018,isaiah_briscoe,0,,,,
456,76256,John Brisker,John,Brisker,0,1972,1974,HISTADD_john_brisker,0,,,,
457,76257,Allan Bristow,Allan,Bristow,0,1973,1982,HISTADD_allan_bristow,0,,,,
458,76258,Tyrone Britt,Tyrone,Britt,0,1967,1967,HISTADD_tyrone_britt,0,,,,
459,76259,Wayman Britt,Wayman,Britt,0,1977,1977,HISTADD_wayman_britt,0,,,,
460,76260,Mike Brittain,Mike,Brittain,0,1985,1986,HISTADD_mike_brittain,0,,,,
461,76261,David Britton,David,Britton,0,1980,1980,HISTADD_david_britton,0,,,,
462,201972,Jon Brockman,Jon,Brockman,0,2009,2011,jon_brockman,0,,,,
463,1629151,Ryan Broekhoff,Ryan,Broekhoff,0,2018,2018,ryan_broekhoff,0,,,,
464,76262,Jim Brogan,Jim,Brogan,0,1981,1982,HISTADD_jim_brogan,0,,,,
465,1627763,Malcolm Brogdon,Malcolm,Brogdon,1,2016,2018,malcolm_brogdon,1610612749,Milwaukee,Bucks,MIL,bucks
466,76263,Gary Brokaw,Gary,Brokaw,0,1974,1977,HISTADD_dupp_gary_brokaw,0,,,,
467,76264,Price Brookfield,Price,Brookfield,0,1948,1949,HISTADD_price_brookfield,0,,,,
468,201166,Aaron Brooks,Aaron,Brooks,1,2007,2017,aaron_brooks,1610612750,Minnesota,Timberwolves,MIN,timberwolves
469,1628415,Dillon Brooks,Dillon,Brooks,1,2017,2018,dillon_brooks,1610612763,Memphis,Grizzlies,MEM,grizzlies
470,76265,Kevin Brooks,Kevin,Brooks,0,1991,1993,HISTADD_kevin_brooks,0,,,,
471,202705,MarShon Brooks,MarShon,Brooks,1,2011,2018,marshon_brooks,1610612763,Memphis,Grizzlies,MEM,grizzlies
472,76266,Michael Brooks,Michael,Brooks,0,1980,1987,HISTADD_michael_brooks,0,,,,
473,418,Scott Brooks,Scott,Brooks,0,1988,1997,scott_brooks,0,,,,
474,2810,Andre Brown,Andre,Brown,0,2006,2008,andre_brown,0,,,,
475,1626148,Anthony Brown,Anthony,Brown,1,2015,2017,anthony_brown,1610612750,Minnesota,Timberwolves,MIN,timberwolves
476,76284,Bob Brown,Bob,Brown,0,1948,1949,HISTADD_bob_brown,0,,,,
477,201628,Bobby Brown,Bobby,Brown,0,2008,2017,bobby_brown,0,,,,
478,1628971,Bruce Brown,Bruce,Brown,0,2018,2018,tmp_bruce_brown,0,,,,
479,359,Chucky Brown,Chucky,Brown,0,1989,2001,chucky_brown,0,,,,
480,2245,Damone Brown,Damone,Brown,0,2001,2004,damone_brown,0,,,,
481,76270,Darrell Brown,Darrell,Brown,0,1948,1948,HISTADD_darrell_brown,0,,,,
482,244,Dee Brown,Dee,Brown,0,1990,2001,dee_brown,0,,,,
483,200793,Dee Brown,Dee,Brown,0,2006,2008,dee_brown,0,,,,
484,201974,Derrick Brown,Derrick,Brown,0,2009,2011,derrick_brown,0,,,,
485,2484,Devin Brown,Devin,Brown,0,2002,2009,devin_brown,0,,,,
486,2081,Ernest Brown,Ernest,Brown,0,2001,2003,ernest_brown,0,,,,
487,76272,Fred Brown,Fred,Brown,0,1971,1983,HISTADD_fred_brown,0,,,,
488,76273,George Brown,George,Brown,0,1957,1957,HISTADD_george_brown,0,,,,
489,1871,Gerald Brown,Gerald,Brown,0,1998,1998,gerald_brown,0,,,,
490,76275,Harold Brown,Harold,Brown,0,1946,1946,HISTADD_brownie_brown,0,,,,
491,203913,Jabari Brown,Jabari,Brown,0,2014,2014,jabari_brown,0,,,,
492,1627759,Jaylen Brown,Jaylen,Brown,1,2016,2018,jaylen_brown,1610612738,Boston,Celtics,BOS,celtics
493,76276,John Brown,John,Brown,0,1973,1979,HISTADD_john_brown,0,,,,
494,2208,Kedrick Brown,Kedrick,Brown,0,2001,2004,kedrick_brown,0,,,,
495,2198,Kwame Brown,Kwame,Brown,0,2001,2012,kwame_brown,0,,,,
496,76278,Leon Brown,Leon,Brown,0,1946,1946,HISTADD_stretch_brown,0,,,,
497,76279,Lewis Brown,Lewis,Brown,0,1980,1980,HISTADD_lewis_brown,0,,,,
498,203485,Lorenzo Brown,Lorenzo,Brown,1,2013,2018,lorenzo_brown,1610612761,Toronto,Raptors,TOR,raptors
499,992,Marcus Brown,Marcus,Brown,0,1996,1999,marcus_brown,0,,,,
500,203900,Markel Brown,Markel,Brown,1,2014,2017,markel_brown,1610612745,Houston,Rockets,HOU,rockets
501,1479,Mike Brown,Mike,Brown,0,1986,1997,mike_brown,0,,,,
502,76277,Myron Brown,Myron,Brown,0,1991,1991,HISTADD_myron_brown,0,,,,
503,136,P.J. Brown,P.J.,Brown,0,1993,2007,p.j._brown,0,,,,
504,753,Randy Brown,Randy,Brown,0,1991,2002,randy_brown,0,,,,
505,76282,Raymond Brown,Raymond,Brown,0,1989,1989,HISTADD_raymond_brown,0,,,,
506,76283,Rickey Brown,Rickey,Brown,0,1980,1984,HISTADD_rickey_brown,0,,,,
507,76286,Roger Brown,Roger,Brown,0,1972,1979,HISTADD_roger_brown,0,,,,
508,200769,Shannon Brown,Shannon,Brown,0,2006,2014,shannon_brown,0,,,,
509,76285,Stan Brown,Stan,Brown,0,1947,1951,HISTADD_stan_brown,0,,,,
510,1628425,Sterling Brown,Sterling,Brown,1,2017,2018,sterling_brown,1610612749,Milwaukee,Bucks,MIL,bucks
511,2357,Tierre Brown,Tierre,Brown,0,2001,2004,tierre_brown,0,,,,
512,76268,Tony Brown,Tony,Brown,0,1984,1991,HISTADD_tony_brown,0,,,,
513,1628972,Troy Brown Jr.,Troy,Brown Jr.,0,2018,2018,troy_brown_jr,0,,,,
514,76287,Jim Browne,Jim,Browne,0,1948,1949,HISTADD_jim_browne,0,,,,
515,76288,Stanley Brundy,Stanley,Brundy,0,1989,1989,HISTADD_marla_brumfield,0,,,,
516,1628973,Jalen Brunson,Jalen,Brunson,0,2018,2018,jalen_brunson,0,,,,
517,1594,Rick Brunson,Rick,Brunson,0,1997,2005,rick_brunson,0,,,,
518,1627852,Nicolas Brussino,Nicolas,Brussino,0,2016,2017,nicolas_brussino,0,,,,
519,76289,Emmette Bryant,Emmette,Bryant,0,1964,1971,HISTADD_emmette_bryant,0,,,,
520,76290,Joe Bryant,Joe,Bryant,0,1975,1982,HISTADD_joe_bryant,0,,,,
521,977,Kobe Bryant,Kobe,Bryant,0,1996,2015,kobe_bryant,0,,,,
522,95,Mark Bryant,Mark,Bryant,0,1988,2002,mark_bryant,0,,,,
523,1628418,Thomas Bryant,Thomas,Bryant,1,2017,2018,thomas_bryant,1610612747,Los Angeles,Lakers,LAL,lakers
524,76291,Wallace Bryant,Wallace,Bryant,0,1983,1985,HISTADD_wallace_bryant,0,,,,
525,76292,Torgeir Bryn,Torgeir,Bryn,0,1989,1989,HISTADD_torgeir_bryn,0,,,,
526,76293,Joe Buckhalter,Joe,Buckhalter,0,1961,1962,HISTADD_joe_buckhalter,0,,,,
527,76294,Steve Bucknall,Steve,Bucknall,0,1989,1989,HISTADD_steve_bucknall,0,,,,
528,76295,Cleveland Buckner,Cleveland,Buckner,0,1961,1962,HISTADD_cleveland_buckner,0,,,,
529,1761,Greg Buckner,Greg,Buckner,0,1999,2008,greg_buckner,0,,,,
530,76296,Quinn Buckner,Quinn,Buckner,0,1976,1985,HISTADD_quinn_buckner,0,,,,
531,76297,Dave Budd,Dave,Budd,0,1960,1964,HISTADD_dave_budd,0,,,,
532,201978,Chase Budinger,Chase,Budinger,0,2009,2015,chase_budinger,0,,,,
533,76298,Walter Budko,Walter,Budko,0,1948,1951,HISTADD_walt_budko,0,,,,
534,146,Jud Buechler,Jud,Buechler,0,1990,2001,jud_buechler,0,,,,
535,1934,Rodney Buford,Rodney,Buford,0,1999,2004,rodney_buford,0,,,,
536,672,Matt Bullard,Matt,Bullard,0,1990,2002,matt_bullard,0,,,,
537,203493,Reggie Bullock,Reggie,Bullock,1,2013,2018,reggie_bullock,1610612765,Detroit,Pistons,DET,pistons
538,76300,Greg Bunch,Greg,Bunch,0,1978,1978,HISTADD_greg_bunch,0,,,,
539,76301,Dick Bunt,Dick,Bunt,0,1952,1952,HISTADD_dick_bunt,0,,,,
540,76302,Bill Buntin,Bill,Buntin,0,1965,1965,HISTADD_bill_buntin,0,,,,
541,76303,Luther Burden,Luther,Burden,0,1976,1977,HISTADD_ticky_burden,0,,,,
542,2469,Pat Burke,Pat,Burke,0,2002,2006,pat_burke,0,,,,
543,203504,Trey Burke,Trey,Burke,1,2013,2018,trey_burke,1610612752,New York,Knicks,NYK,knicks
544,76304,Roger Burkman,Roger,Burkman,0,1981,1981,HISTADD_roger_burkman,0,,,,
545,202692,Alec Burks,Alec,Burks,1,2011,2018,alec_burks,1610612762,Utah,Jazz,UTA,jazz
546,2766,Antonio Burks,Antonio,Burks,0,2004,2005,antonio_burks,0,,,,
547,101207,Kevin Burleson,Kevin,Burleson,0,2005,2005,kevin_burleson,0,,,,
548,76305,Tom Burleson,Tom,Burleson,0,1974,1980,HISTADD_tom_burleson,0,,,,
549,76306,Jack Burmaster,Jack,Burmaster,0,1949,1949,HISTADD_jack_burmaster,0,,,,
550,76307,David Burns,David,Burns,0,1981,1981,HISTADD_david_burns,0,,,,
551,76308,Evers Burns,Evers,Burns,0,1993,1993,HISTADD_evers_burns,0,,,,
552,76309,Jim Burns,Jim,Burns,0,1967,1967,HISTADD_jim_burns,0,,,,
553,197,Scott Burrell,Scott,Burrell,0,1993,2000,scott_burrell,0,,,,
554,76311,Art Burris,Art,Burris,0,1950,1951,HISTADD_art_burris,0,,,,
555,675,Junior Burrough,Junior,Burrough,0,1995,1995,junior_burrough,0,,,,
556,76313,Bob Burrow,Bob,Burrow,0,1956,1957,HISTADD_bob_burrow,0,,,,
557,1629126,Deonte Burton,Deonte,Burton,0,2018,2018,deonte_burton,0,,,,
558,76314,Ed Burton,Ed,Burton,0,1961,1964,HISTADD_ed_burton,0,,,,
559,416,Willie Burton,Willie,Burton,0,1990,1998,willie_burton,0,,,,
560,76316,Steve Burtt,Steve,Burtt,0,1984,1992,HISTADD_steve_burtt,0,,,,
561,76317,Don Buse,Don,Buse,0,1976,1984,HISTADD_don_buse,0,,,,
